adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/mAhCW7QbpL5kwvCWGsfyY3ILoW6.jpg,"[35, 18]",10098,en,The Kid,A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.,13.569,/drgMcyTsySQBnUPGaBThCHGdlWT.jpg,1921-01-21,The Kid,False,8.183,1951
False,/l1P5JbizBI1XxzeNCrwOCQUHAI5.jpg,[18],575813,zh,少年的你,"A bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants, while she copes with the pressures of her final examinations.",23.285,/csVZ2ZQCj98XdZoCuW1aixMYJ0W.jpg,2019-10-25,Better Days,False,8.183,383
False,/jLq0ol1f0ZKXni9R9GsPBcyPrNN.jpg,[18],18148,ja,東京物語,"The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company.",16.311,/g2YbTYKpY7N2yDSk7BfXZ18I5QV.jpg,1953-11-03,Tokyo Story,False,8.178,965
False,/19vTfircuojU00I6xtRdy3DrF1e.jpg,[35],620683,pt,Minha Mãe é uma Peça 3: O Filme,Dona Hermínia will have to rediscover and reinvent herself because her children are forming new families. This supermom will have to deal with a new life scenario: Marcelina is pregnant and Juliano is getting married.,6.755,/zw77BFPGJ73Lig8GwRzYj1XHq53.jpg,2019-12-26,My Mom Is a Character 3,False,8.175,458
False,/5Lbm0gpFDRAPIV1Cth6ln9iL1ou.jpg,"[18, 37]",68718,en,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",81.039,/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,2012-12-25,Django Unchained,False,8.2,25248
False,/hjypZf7Juayon8emI6HNSyjbqWF.jpg,"[28, 12, 14]",791373,en,Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",137.349,/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg,2021-03-18,Zack Snyder's Justice League,False,8.173,9535
False,/2n1u392UAhtR4SvjCHC8BfLaamn.jpg,"[18, 10749]",133919,sv,Scener ur ett äktenskap,"Johan and Marianne are married and seem to have it all. Their happiness, however, is a façade for a troubled relationship, which becomes even rockier when Johan admits that he's having an affair. Before long, the spouses separate and move towards finalizing their divorce, but they make attempts at reconciling. Even as they pursue other relationships, Johan and Marianne realize that they have a significant bond, but also many issues that hinder that connection.",8.242,/ArKEdvJesIktFX8OAhcdKAOLl6I.jpg,1974-09-15,Scenes from a Marriage,False,8.2,316
False,/5zKeHHFYfuyH0KFR7h3IYnOHL7v.jpg,"[9648, 10749, 53]",426,en,Vertigo,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",36.123,/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg,1958-05-28,Vertigo,False,8.173,5410
False,/89HE1VSdBDWBEro1wSpl2dFcfd9.jpg,"[18, 10752]",20941,es,Voces inocentes,"A young boy, in an effort to have a normal childhood in 1980s El Salvador, is caught up in a dramatic fight for his life as he desperately tries to avoid the war which is raging all around him",27.107,/hvwB4LdMCLzqXsk5ZjR77vzPkGk.jpg,2005-01-28,Innocent Voices,False,8.17,444
False,/hiXMQiwpa0fqPJxWLSMWTbpiWn8.jpg,[18],422,it,8½,"Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers—his producer, staff, actors, wife, mistress, and relatives—each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood.",16.562,/tMWvzPsvpmlklcPVjVLpUWgZHua.jpg,1963-02-14,8½,False,8.169,2134
